category,stockNo,stockName,lastPrice,revenue,revenueGrowthYOY,operatingProfit,operatingProfitMargin,netProfit,netProfitMargin,EPS,EPSGrowthYOYPercent,yrEnd
"Diversified Tourism, Hotel & Restaurant",00071.HK,MIRAMAR HOTEL,15.280,1.31B,-57.000%,408.10M,31.044%,301.90M,22.965%,0.440,-76.344%,2020/12
Funeral,01448.HK,FU SHOU YUAN,7.500,2.26B,9.000%,1.11B,49.030%,739.05M,32.764%,0.327,12.835%,2020/12
Funeral,06966.HK,C WAN TONG YUAN,0.410,46.35M,-34.000%,30.05M,64.835%,20.91M,45.103%,0.021,-20.007%,2020/12
Funeral,08108.HK,GRAND PEACE,0.050,91.16M,-19.000%,-37.13M,-40.733%,-76.26M,-83.655%,-0.083,-12.534%,2018/12
Funeral,08296.HK,SINO-LIFE GROUP,0.158,81.45M,9.000%,4.77M,5.853%,-3.54M,-4.352%,-0.005,16.347%,2020/12
Gamble,08279.HK,AGTECH HOLDINGS,0.350,183.93M,N/A,-131.09M,-81.094%,-121.37M,-75.084%,-0.011,3.670%,2020/12
Gamble,08400.HK,ASIA PIONEER,0.038,40.47M,-50.000%,-32.03M,-79.145%,-32.03M,-79.145%,-0.032,-966.667%,2020/12
"Diversified Tourism, Hotel & Restaurant",02006.HK,JINJIANGCAPITAL,1.650,16.93B,-27.000%,2.00B,11.836%,355.74M,2.102%,0.064,-52.909%,2020/12
"Automobile Retailing, Maintenance & Repair",00138.HK,CCT FORTIS,0.180,505.00M,-49.000%,-697.00M,-138.020%,-689.00M,-136.436%,-0.790,-393.750%,2020/12
"Automobile Retailing, Maintenance & Repair",00360.HK,NEW FOCUS AUTO,0.086,1.09B,-44.000%,-538.00M,-49.508%,-556.32M,-51.194%,-0.082,-160.971%,2020/12
"Automobile Retailing, Maintenance & Repair",00693.HK,TAN CHONG INT'L,2.030,12.32B,-15.000%,274.11M,2.225%,9.51M,0.077%,0.005,-95.558%,2020/12
"Automobile Retailing, Maintenance & Repair",00720.HK,AUTO ITALIA,0.190,125.90M,-45.000%,-82.90M,-65.847%,-89.05M,-70.726%,-0.017,-269.565%,2020/12
"Automobile Retailing, Maintenance & Repair",00872.HK,TUS INTL,0.115,730.30M,N/A,-249.53M,-34.169%,-246.08M,-33.695%,-0.119,23.226%,2020/12
"Automobile Retailing, Maintenance & Repair",00881.HK,ZHONGSHENG HLDG,69.650,176.82B,27.000%,10.65B,6.024%,6.60B,3.734%,2.908,31.437%,2020/12
"Automobile Retailing, Maintenance & Repair",00970.HK,SPARKLE ROLL,0.217,4.53B,31.000%,96.61M,2.135%,37.53M,0.829%,0.007,16.667%,2021/03
"Automobile Retailing, Maintenance & Repair",01268.HK,MEIDONG AUTO,41.850,24.09B,32.000%,1.37B,5.671%,894.59M,3.714%,0.741,39.145%,2020/12
"Automobile Retailing, Maintenance & Repair",01293.HK,GRAND BAOXIN,1.280,41.88B,2.000%,1.25B,2.994%,251.99M,0.602%,0.083,-66.063%,2020/12
"Automobile Retailing, Maintenance & Repair",01365.HK,RUNDONG AUTO,0.300,8.53B,-41.000%,-6.62B,-77.587%,-6.53B,-76.530%,-6.895,-278.479%,2019/12
"Automobile Retailing, Maintenance & Repair",01728.HK,ZHENGTONGAUTO,0.790,20.12B,-48.000%,-11.13B,-55.332%,-10.23B,-50.821%,-3.990,N/A,2020/12
"Automobile Retailing, Maintenance & Repair",01771.HK,SUNFONDA GP,2.120,12.68B,21.000%,365.62M,2.885%,173.05M,1.365%,0.286,27.989%,2020/12
"Automobile Retailing, Maintenance & Repair",01861.HK,PRECIOUS DRAGON,4.250,665.65M,18.000%,93.25M,14.009%,53.16M,7.986%,0.228,42.500%,2020/12
"Automobile Retailing, Maintenance & Repair",01872.HK,GUAN CHAO HLDGS,0.160,943.35M,-12.000%,36.15M,3.832%,19.06M,2.020%,0.021,4.298%,2020/12
"Automobile Retailing, Maintenance & Repair",01959.HK,CENT UNIT HLDG,0.740,2.28B,-1.000%,39.98M,1.754%,25.54M,1.120%,0.051,-44.872%,2020/12
"Automobile Retailing, Maintenance & Repair",03669.HK,YONGDA AUTO,13.840,81.69B,16.000%,3.49B,4.267%,1.94B,2.371%,1.013,13.324%,2020/12
"Automobile Retailing, Maintenance & Repair",03836.HK,HARMONY AUTO,3.430,17.58B,24.000%,893.95M,5.086%,489.51M,2.785%,0.322,-15.301%,2020/12
"Automobile Retailing, Maintenance & Repair",08123.HK,SINOFORTUNE FIN,0.022,69.07M,-78.000%,-41.74M,-60.435%,-41.40M,-59.939%,-0.005,67.879%,2020/12
"Automobile Retailing, Maintenance & Repair",08126.HK,G. A. HOLDINGS,0.240,2.31B,1.000%,114.06M,5.037%,52.81M,2.332%,0.111,96.631%,2020/12
"Automobile Retailing, Maintenance & Repair",08135.HK,ZMFY GLASS,0.355,95.91M,-16.000%,-16.42M,-17.116%,-24.19M,-25.220%,-0.031,30.875%,2020/12
"Automobile Retailing, Maintenance & Repair",08283.HK,ZHENG LI HLDG,0.153,133.42M,29.000%,-7.14M,-5.464%,-7.15M,-5.473%,-0.003,68.212%,2019/12
"Automobile Retailing, Maintenance & Repair",08418.HK,OPTIMA AUTO,1.510,136.76M,38.000%,-4.63M,-3.539%,-4.63M,-3.539%,-0.005,72.345%,2020/12
Department Stores & Shopping Malls,00039.HK,CH BEIDAHUANG,0.068,859.10M,10.000%,49.70M,5.785%,17.31M,2.015%,0.002,N/A,2020/12
Department Stores & Shopping Malls,00097.HK,HENDERSON INV,0.405,1.83B,7.000%,178.00M,9.732%,127.00M,6.944%,0.042,110.000%,2020/12
Department Stores & Shopping Malls,00162.HK,CENTURY GINWA,0.191,487.71M,-31.000%,-718.71M,-151.879%,-756.97M,-159.965%,-0.325,N/A,2020/12
Department Stores & Shopping Malls,00244.HK,SINCERE,0.550,177.47M,-32.000%,-145.68M,-82.087%,-145.02M,-81.713%,-0.140,17.647%,2021/02
Department Stores & Shopping Malls,00289.HK,WING ON CO,17.360,1.33B,-13.000%,516.96M,43.528%,-456.15M,-38.408%,-1.562,N/A,2020/12
Department Stores & Shopping Malls,00312.HK,SHIRBLE STORE,0.320,625.70M,-32.000%,33.53M,5.848%,-89.53M,-15.614%,-0.036,N/A,2020/12
Department Stores & Shopping Malls,00493.HK,GOME RETAIL,0.990,52.59B,-20.000%,-8.54B,-16.235%,-8.34B,-15.852%,-0.415,-187.728%,2020/12
Department Stores & Shopping Malls,00602.HK,JIAHUA STORES H,0.150,510.20M,-29.000%,-230.66M,-45.211%,-231.78M,-45.429%,-0.223,-295.795%,2020/12
Department Stores & Shopping Malls,00759.HK,CEC INT'L HOLD,0.780,1.96B,6.000%,48.90M,2.496%,12.35M,0.630%,0.019,N/A,2020/04
Department Stores & Shopping Malls,00814.HK,JINGKELONG,1.180,14.28B,9.000%,189.35M,1.326%,67.11M,0.470%,0.167,14.862%,2020/12
Department Stores & Shopping Malls,00825.HK,NWDS CHINA,1.430,2.33B,-36.000%,-197.96M,-8.866%,-483.67M,-21.663%,-0.290,N/A,2020/06
Department Stores & Shopping Malls,00831.HK,CR ASIA,0.730,1.19B,N/A,67.46M,5.660%,3.14B,263.526%,4.107,"1,409.926%",2020/12
Department Stores & Shopping Malls,00848.HK,MAOYE INT'L,0.335,9.55B,7.000%,1.56B,18.878%,-208.15M,-2.527%,-0.041,N/A,2020/12
Department Stores & Shopping Malls,00974.HK,SKL,0.610,1.06B,N/A,-19.36M,-1.828%,-19.67M,-1.857%,-0.072,8.579%,2020/12
Department Stores & Shopping Malls,00980.HK,LIANHUA,0.980,31.38B,8.000%,59.08M,0.188%,-380.56M,-1.213%,-0.346,9.027%,2020/12
Department Stores & Shopping Malls,00984.HK,AEON STORES,1.750,10.55B,4.000%,-20.25M,-0.203%,-36.81M,-0.369%,-0.142,80.493%,2020/12
Department Stores & Shopping Malls,01212.HK,LIFESTYLE INT'L,6.090,1.99B,-43.000%,246.96M,12.391%,138.51M,6.950%,0.090,-92.857%,2020/12
Department Stores & Shopping Malls,02136.HK,LIFESTYLE CHI,1.250,1.34B,N/A,325.99M,24.333%,253.57M,18.927%,0.173,N/A,2020/12
Department Stores & Shopping Malls,02213.HK,YI HUA HLDG,0.101,688.01M,-22.000%,-568.51M,-82.966%,-651.61M,-95.094%,-0.650,-387.630%,2019/12
Department Stores & Shopping Malls,02360.HK,BEST MART 360,2.020,1.63B,32.000%,101.67M,6.245%,81.45M,5.003%,0.081,575.000%,2021/03
Department Stores & Shopping Malls,03308.HK,GOLDEN EAGLE,6.870,7.99B,4.000%,2.67B,40.048%,1.86B,27.962%,1.118,41.707%,2020/12
Department Stores & Shopping Malls,03368.HK,PARKSON GROUP,0.300,5.28B,-6.000%,415.92M,8.702%,-298.11M,-6.237%,-0.113,-19.206%,2020/12
Department Stores & Shopping Malls,06808.HK,SUNART RETAIL,5.660,147.25B,38.000%,6.82B,4.630%,4.23B,2.873%,0.438,N/A,2021/03
Airlne Support,00357.HK,MEILAN AIRPORT,30.850,1.63B,-7.000%,-1.55B,-95.086%,-1.60B,-97.871%,-3.373,N/A,2020/12
Airline Services,00293.HK,CATHAY PAC AIR,6.550,46.93B,-56.000%,-18.14B,-38.659%,-21.88B,-46.610%,-4.243,N/A,2020/12
Airlne Support,01848.HK,CALC,6.100,3.49B,-1.000%,948.72M,38.150%,334.14M,13.437%,0.482,-63.568%,2020/12
Airline Services,00670.HK,CHINA EAST AIR,3.240,76.79B,-46.000%,-16.50B,-23.567%,-14.11B,-20.154%,-0.858,N/A,2020/12
Airline Services,00694.HK,BEIJING AIRPORT,5.090,4.28B,-64.000%,-3.25B,-75.979%,-2.43B,-56.721%,-0.524,N/A,2020/12
Airline Services,00753.HK,AIR CHINA,5.650,88.03B,-43.000%,-13.31B,-16.069%,-17.17B,-20.723%,-1.250,N/A,2020/12
Airline Services,01055.HK,CHINA SOUTH AIR,4.790,110.32B,-36.000%,-14.14B,-13.633%,-12.93B,-12.464%,-0.918,N/A,2020/12
Airline Services,02588.HK,BOC AVIATION,66.400,15.92B,3.000%,4.36B,31.550%,3.95B,28.571%,5.660,-28.038%,2020/12
Advertising,00100.HK,CLEAR MEDIA,7.120,1.23B,-23.000%,-369.83M,-29.958%,-294.06M,-23.820%,-0.543,-202.640%,2020/12
Advertising,00150.HK,HYPEBEAST,1.140,674.21M,-10.000%,93.09M,13.807%,70.58M,10.469%,0.035,6.442%,2021/03
Advertising,00205.HK,SEEC MEDIA,0.560,80.17M,-8.000%,-110.72M,-138.117%,-137.83M,-171.930%,-0.400,-33.333%,2020/12
Advertising,00550.HK,KK CULTURE,0.800,20.05M,-62.000%,-22.43M,-111.840%,-22.56M,-112.523%,-0.051,33.201%,2020/12
Advertising,00623.HK,SINOMEDIA,1.160,1.40B,-16.000%,149.45M,10.662%,103.95M,7.416%,0.216,257.501%,2020/12
Advertising,00745.HK,CN CULTURE GP,0.192,78.10M,1.000%,-70.66M,-90.483%,-56.32M,-72.113%,-0.102,45.609%,2021/03
Advertising,00888.HK,BISON FINANCE,0.340,298.23M,-49.000%,-353.27M,-118.456%,-343.97M,-115.338%,-0.302,N/A,2020/12
Advertising,01000.HK,BEIJING MEDIA,0.740,258.99M,5.000%,-156.78M,-60.537%,-155.16M,-59.909%,-0.787,28.895%,2020/12
Advertising,01163.HK,ADTIGER CORP,0.900,250.68M,N/A,2.73M,1.088%,3.44M,1.373%,0.012,N/A,2020/12
Advertising,01351.HK,BRIGHT FUTURE,1.280,456.22M,N/A,85.72M,18.789%,80.26M,17.592%,0.203,N/A,2020/12
Advertising,01490.HK,CHESHI,0.770,215.02M,N/A,93.69M,43.574%,77.05M,35.831%,0.095,N/A,2020/12
Advertising,01640.HK,RUICHENG CHINA,0.650,532.77M,-43.000%,5.22M,0.979%,3.39M,0.636%,0.008,-93.466%,2020/12
Advertising,01753.HK,DUIBA,2.160,1.28B,-30.000%,-83.94M,-6.576%,-75.76M,-5.936%,-0.073,70.292%,2020/12
Advertising,01761.HK,BABYTREE GROUP,1.050,252.99M,-36.000%,-596.23M,-235.670%,-560.51M,-221.550%,-0.334,-2.980%,2020/12
Advertising,01762.HK,WANKA ONLINE,0.750,2.06B,-23.000%,113.37M,5.508%,79.63M,3.869%,0.060,-40.746%,2020/12
Advertising,01831.HK,SHIFANG HLDG,0.385,150.64M,10.000%,-89.17M,-59.194%,-87.94M,-58.381%,-0.106,53.245%,2020/12
Advertising,01860.HK,MOBVISTA,9.880,4.00B,2.000%,-40.42M,-1.010%,-40.36M,-1.009%,-0.027,N/A,2020/12
Advertising,01917.HK,DOUMOB,0.124,107.57M,-49.000%,-90.96M,-84.560%,-87.91M,-81.717%,-0.038,N/A,2020/12
Advertising,01993.HK,ASIARAY,2.000,1.56B,-17.000%,61.70M,3.962%,-163.36M,-10.689%,-0.355,-19.535%,2020/12
Advertising,02013.HK,WEIMOB INC,15.900,2.35B,46.000%,10.72M,0.457%,-1.38B,-58.747%,-0.620,N/A,2020/12
Advertising,02131.HK,NETJOY,6.320,3.07B,N/A,138.26M,4.501%,123.49M,4.020%,0.204,N/A,2020/12
Advertising,06113.HK,UTS MARKETING,1.130,168.98M,6.000%,34.62M,21.380%,31.02M,19.158%,0.078,22.099%,2020/12
Advertising,06988.HK,JOY SPREADER,3.080,923.92M,N/A,157.63M,17.061%,138.68M,15.010%,0.078,N/A,2020/12
Advertising,08087.HK,CHINA 33MEDIA,0.089,113.49M,27.000%,-134.15M,-118.205%,-147.42M,-129.896%,-0.242,-58.037%,2020/12
Advertising,08091.HK,OOH HOLDINGS,0.084,47.20M,-16.000%,-5.07M,-10.738%,-4.69M,-9.941%,-0.007,17.722%,2021/03
Advertising,08112.HK,CORNERSTONE FIN,0.300,50.97M,-44.000%,-57.62M,-113.039%,-58.08M,-113.947%,-1.013,-220.779%,2020/12
Advertising,08121.HK,GURU ONLINE,0.070,141.39M,-7.000%,-15.91M,-11.254%,-16.25M,-11.490%,-0.010,38.217%,2021/03
Advertising,08130.HK,DADI INTL GROUP,0.063,615.94M,-49.000%,-124.49M,-20.211%,-152.50M,-24.759%,-0.043,N/A,2021/03
Advertising,08202.HK,INNO-TECH HOLD,0.032,60.08M,80.000%,37.82M,62.951%,40.20M,66.906%,0.034,-91.371%,2019/06
Advertising,08238.HK,WINTO GROUP,0.115,20.60M,39.000%,-39.59M,-192.155%,-38.90M,-188.797%,-0.090,-3.806%,2019/12
Real Estate Investment Trust,00405.HK,YUEXIU REIT,4.000,2.10B,-8.000%,942.90M,44.981%,674.01M,32.154%,0.215,-31.434%,2020/12
Real Estate Investment Trust,00435.HK,SUNLIGHT REIT,4.850,854.56M,N/A,-550.87M,-64.463%,-751.39M,-87.927%,-0.450,N/A,2020/06
Real Estate Investment Trust,00625.HK,RREEF CCT REIT,4.350,0.00,N/A,18.00K,N/A,18.00K,N/A,0.000,N/A,2020/12
Real Estate Investment Trust,00778.HK,FORTUNE REIT,8.390,1.84B,-5.000%,-2.99B,-162.001%,-3.19B,-173.170%,-1.637,N/A,2020/12
Real Estate Investment Trust,00808.HK,PROSPERITY REIT,3.130,452.89M,-2.000%,-834.64M,-184.291%,-874.50M,-193.092%,-0.580,N/A,2020/12
Real Estate Investment Trust,00823.HK,LINK REIT,74.650,10.74B,N/A,1.84B,17.163%,1.19B,11.029%,0.570,N/A,2021/03
Real Estate Investment Trust,01275.HK,NEW CENT REIT,2.010,255.46M,-28.000%,-578.37M,-226.407%,-650.23M,-254.536%,-0.665,"-1,433.342%",2020/12
Real Estate Investment Trust,01426.HK,SPRING REIT,2.870,635.49M,4.000%,-306.56M,-48.241%,-226.37M,-35.622%,-0.157,N/A,2020/12
Real Estate Investment Trust,01503.HK,CMC REIT,2.770,441.15M,"1,272.000%",428.34M,97.097%,339.75M,77.015%,0.298,788.814%,2020/12
Real Estate Investment Trust,01881.HK,REGAL REIT,1.670,871.40M,-10.000%,-2.22B,-255.039%,-2.31B,-265.069%,-0.709,-9.922%,2020/12
Real Estate Investment Trust,02191.HK,SF REIT,4.320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Real Estate Investment Trust,02778.HK,CHAMPION REIT,4.390,2.92B,-5.000%,-12.23B,-418.660%,-12.50B,-427.936%,-2.120,"-2,020.000%",2020/12
Real Estate Investment Trust,87001.HK,HUI XIAN REIT,1.760,2.70B,-20.000%,-833.00M,-33.333%,-672.00M,-26.891%,-0.113,N/A,2020/12
Property Management & Agency,00108.HK,GR PROPERTIES,0.960,333.07M,-20.000%,67.74M,21.035%,552.00K,0.171%,0.000,-99.351%,2020/12
Property Management & Agency,00352.HK,FORTUNE SUN,0.800,31.95M,98.000%,69.13K,0.216%,69.13K,0.216%,0.000,N/A,2020/12
Property Management & Agency,00459.HK,MIDLAND IC&I,0.178,343.86M,-22.000%,-3.63M,-1.058%,-7.28M,-2.123%,-0.004,62.685%,2020/12
Property Management & Agency,00606.HK,SCE CM,4.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,00733.HK,HOPEFLUENT,3.100,6.23B,1.000%,485.74M,7.844%,183.95M,2.971%,0.273,-62.241%,2020/12
Property Management & Agency,00873.HK,SHIMAO SERVICES,26.600,5.99B,N/A,1.07B,17.849%,825.93M,13.788%,0.405,N/A,2020/12
Property Management & Agency,00982.HK,HUAFA PPT SER,0.201,1.09B,14.000%,176.76M,16.269%,36.79M,3.386%,0.004,-61.277%,2020/12
Property Management & Agency,01153.HK,JIAYUAN SER,3.870,733.13M,N/A,132.42M,18.063%,77.98M,10.637%,0.167,N/A,2020/12
Property Management & Agency,01200.HK,MIDLAND HOLDING,1.660,5.19B,6.000%,169.74M,3.407%,131.85M,2.647%,0.184,N/A,2020/12
Property Management & Agency,01209.HK,CHINA RES MIXC,51.100,8.08B,N/A,1.35B,16.742%,974.63M,12.063%,0.578,N/A,2020/12
Property Management & Agency,01417.HK,RIVERINE CHINA,1.880,910.38M,69.000%,44.79M,4.920%,31.24M,3.431%,0.083,86.651%,2020/12
Property Management & Agency,01502.HK,FIN STREET PPT,4.830,1.35B,N/A,237.75M,17.638%,124.48M,9.235%,0.390,N/A,2020/12
Property Management & Agency,01516.HK,SUNAC SERVICES,27.900,5.51B,N/A,957.32M,17.376%,716.17M,12.999%,0.298,N/A,2020/12
Property Management & Agency,01538.HK,ZHONG AO HOME,0.770,2.09B,23.000%,268.47M,12.854%,156.75M,7.505%,0.187,25.904%,2020/12
Property Management & Agency,01730.HK,LHN,2.060,759.65M,20.000%,162.81M,21.432%,136.66M,17.989%,0.340,194.526%,2020/09
Property Management & Agency,01755.HK,S-ENJOY SERVICE,23.500,3.42B,51.000%,732.01M,21.426%,539.20M,15.782%,0.656,72.535%,2020/12
Property Management & Agency,01778.HK,COLOUR LIFE,3.070,4.29B,N/A,830.51M,19.375%,598.00M,13.950%,0.416,2.038%,2020/12
Property Management & Agency,01895.HK,XINYUAN PM,2.120,596.69M,N/A,145.53M,24.389%,90.87M,15.230%,0.243,N/A,2019/12
Property Management & Agency,01922.HK,YINCHENG LS,4.730,1.15B,47.000%,122.21M,10.658%,80.20M,6.994%,0.298,66.653%,2020/12
Property Management & Agency,01941.HK,YE XING GROUP,0.680,311.57M,N/A,43.76M,14.046%,24.68M,7.921%,0.064,N/A,2020/12
Property Management & Agency,01971.HK,RSUN SER,4.270,915.20M,N/A,129.18M,14.115%,83.14M,9.084%,0.238,N/A,2020/12
Property Management & Agency,01995.HK,EVERSUNSHINE LS,18.800,3.72B,77.000%,751.22M,20.204%,465.28M,12.514%,0.289,77.470%,2020/12
Property Management & Agency,02048.HK,E-HOUSE ENT,6.070,9.85B,-6.000%,1.02B,10.653%,362.83M,3.781%,0.252,-62.778%,2020/12
Property Management & Agency,02080.HK,AUX INTL,0.550,321.94M,-11.000%,9.44M,3.118%,-8.62M,-2.846%,-0.023,N/A,2021/03
Property Management & Agency,02107.HK,FIRST SERVICE,0.960,919.91M,N/A,148.45M,16.138%,113.03M,12.287%,0.142,N/A,2020/12
Property Management & Agency,02146.HK,ROISERV,10.780,2.15B,N/A,424.13M,19.691%,314.37M,14.595%,1.156,N/A,2020/12
Property Management & Agency,02156.HK,C&D PROPERTY,5.100,1.23B,N/A,184.65M,15.062%,126.48M,10.317%,0.107,N/A,2020/12
Property Management & Agency,02168.HK,KAISA PROSPER,29.450,2.06B,46.000%,375.98M,18.232%,264.54M,12.828%,1.800,37.652%,2020/12
Property Management & Agency,02310.HK,TIMES UNI GP,0.083,58.80M,-36.000%,-75.62M,-128.599%,-78.78M,-133.973%,-0.085,-113.000%,2020/12
Property Management & Agency,02606.HK,LANGUANGJUSTBON,53.850,3.26B,38.000%,791.23M,24.282%,635.55M,19.505%,3.564,2.873%,2020/12
Property Investment,00010.HK,HANG LUNG GROUP,19.880,9.53B,N/A,-481.00M,-5.049%,-1.54B,-16.177%,-1.130,N/A,2020/12
Property Investment,00014.HK,HYSAN DEV,30.950,3.71B,-6.000%,-2.22B,-59.838%,-2.55B,-68.652%,-2.440,N/A,2020/12
Property Investment,00016.HK,SHK PPT,115.000,82.65B,-3.000%,31.03B,37.545%,23.52B,28.458%,8.120,-47.613%,2020/06
Property Investment,00026.HK,CHINA MOTOR BUS,109.000,127.30M,29.000%,90.79M,109.425%,111.50M,134.377%,2.460,-91.990%,2020/06
Property Investment,00029.HK,DYNAMIC HOLD,13.800,92.05M,-13.000%,-50.42M,-54.773%,-28.41M,-30.866%,-0.120,N/A,2020/06
Property Investment,00036.HK,FE HLDGS INTL,0.180,37.25M,-6.000%,59.48M,159.676%,93.44M,250.823%,0.086,N/A,2020/12
Property Investment,00041.HK,GREAT EAGLE H,25.950,10.31B,11.000%,3.13B,30.324%,-8.54B,-82.873%,-11.940,"-2,387.500%",2020/12
Property Investment,00063.HK,CHI ASIA VALLEY,0.104,17.22M,27.000%,-18.06M,-104.926%,-22.96M,-133.370%,-0.008,N/A,2020/12
Property Investment,00075.HK,Y.T. REALTY,1.490,286.06M,439.000%,-177.94M,-62.203%,-134.30M,-46.950%,-0.168,N/A,2020/12
Property Investment,00089.HK,TAI SANG LAND,4.350,351.65M,-5.000%,-109.87M,-31.244%,-155.94M,-44.346%,-0.540,N/A,2020/12
Property Investment,00093.HK,TERMBRAY IND,0.295,24.96M,67.000%,21.98M,88.038%,45.96M,184.108%,0.022,N/A,2020/12
Property Investment,00101.HK,HANG LUNG PPT,18.920,8.97B,1.000%,-664.00M,-7.400%,-2.57B,-28.653%,-0.570,N/A,2020/12
Property Investment,00105.HK,ASSO INT HOTELS,13.600,434.18M,-26.000%,-1.47B,-339.668%,-1.53B,-351.350%,-4.240,-66.929%,2021/03
Property Investment,00127.HK,CHINESE EST H,3.690,3.04B,132.000%,731.01M,24.035%,622.23M,20.458%,0.326,-21.256%,2020/12
Property Investment,00131.HK,CHEUK NANG HOLD,2.770,552.88M,174.000%,277.43M,50.180%,47.70M,8.627%,0.080,-91.919%,2020/06
Property Investment,00141.HK,SKYCHINAFORTUNE,0.181,44.86M,86.000%,723.00K,1.612%,-3.53M,-7.862%,-0.010,32.000%,2020/12
Property Investment,00149.HK,CH AGRI-PROD EX,0.132,650.53M,-40.000%,801.55M,123.215%,489.60M,75.262%,0.049,"8,100.000%",2021/03
Property Investment,00158.HK,MELBOURNE ENT,159.100,203.70M,-10.000%,-1.16B,-569.400%,-1.19B,-581.941%,-47.420,-116.036%,2020/09
Property Investment,00163.HK,EMPEROR INT'L,1.150,1.32B,-44.000%,-1.02B,-77.498%,-767.45M,-58.269%,-0.210,78.788%,2021/03
Property Investment,00171.HK,SILVER GRANT,0.600,89.13M,-17.000%,-447.83M,-502.462%,-317.64M,-356.387%,-0.138,N/A,2020/12
Property Investment,00191.HK,LAI SUN INT'L,4.960,5.32B,-19.000%,-3.27B,-61.346%,-1.97B,-36.924%,-3.974,N/A,2020/07
Property Investment,00207.HK,JOY CITY PPT,0.455,16.82B,45.000%,4.66B,27.720%,1.32B,7.828%,0.086,-28.230%,2020/12
Property Investment,00212.HK,NANYANG HOLD,40.050,225.20M,-1.000%,132.03M,71.883%,86.77M,47.239%,2.530,44.571%,2020/12
Property Investment,00214.HK,ASIA ORIENT,1.350,2.74B,4.000%,2.18B,79.724%,1.01B,36.739%,1.200,81.818%,2021/03
Property Investment,00216.HK,CHINNEY INV,1.870,1.28B,99.000%,230.93M,18.070%,77.88M,6.094%,0.140,N/A,2021/03
Property Investment,00224.HK,PIONEER GLOBAL,1.080,274.38M,-7.000%,208.60M,76.024%,292.53M,106.613%,0.254,661.261%,2021/03
Property Investment,00225.HK,POKFULAM,11.740,167.29M,N/A,-49.85M,-35.601%,-59.54M,-42.522%,-0.540,N/A,2020/09
Property Investment,00237.HK,SAFETY GODOWN,3.780,109.78M,-20.000%,-135.99M,-123.866%,-147.58M,-134.429%,-0.360,50.000%,2021/03
Property Investment,00247.HK,TST PROPERTIES,23.900,5.93B,-26.000%,1.25B,21.038%,901.78M,15.196%,0.480,-76.355%,2020/06
Property Investment,00251.HK,SEA HOLDINGS,7.170,613.42M,-25.000%,176.72M,29.310%,150.97M,25.038%,0.230,-11.877%,2020/12
Property Development,00009.HK,KEYNE LTD,0.063,80.47M,101.000%,-409.26M,-508.611%,-597.19M,-742.163%,-0.167,-106.543%,2020/12
Property Development,00012.HK,HENDERSON LAND,36.600,25.02B,3.000%,9.76B,39.001%,10.19B,40.735%,2.110,-39.886%,2020/12
Property Development,00017.HK,NEW WORLD DEV,39.950,59.01B,-23.000%,12.04B,20.396%,1.10B,1.858%,0.430,-93.952%,2020/06
Property Development,00021.HK,GREAT CHI PPT,0.188,47.32M,67.000%,-81.16M,-171.517%,-82.48M,-174.315%,-0.021,"-1,970.000%",2020/12
Property Development,00028.HK,TIAN AN,4.620,2.36B,6.000%,983.28M,41.674%,618.04M,26.194%,0.410,-53.933%,2020/12
Property Development,00034.HK,KOWLOON DEV,9.200,4.80B,-55.000%,943.20M,20.042%,800.87M,17.018%,0.680,-67.308%,2020/12
Property Development,00035.HK,FE CONSORT INTL,3.070,5.94B,-20.000%,1.28B,21.518%,543.19M,9.139%,0.229,47.742%,2021/03
Property Development,00050.HK,HK FERRY (HOLD),5.850,208.27M,-30.000%,54.68M,26.254%,26.59M,12.766%,0.070,-81.579%,2020/12
Property Development,00051.HK,HARBOUR CENTRE,8.500,3.31B,137.000%,510.00M,15.394%,-1.12B,-33.776%,-1.580,N/A,2020/12
Property Development,00059.HK,SKYFAME REALTY,0.950,9.18B,24.000%,2.02B,22.040%,1.13B,12.346%,0.145,27.571%,2020/12
Property Development,00081.HK,CH OVS G OCEANS,4.510,51.14B,60.000%,11.40B,22.290%,5.21B,10.195%,1.523,40.091%,2020/12
Property Development,00083.HK,SINO LAND,12.520,5.89B,-26.000%,1.25B,21.190%,1.69B,28.675%,0.240,-76.699%,2020/06
Property Development,00088.HK,TAI CHEUNG HOLD,4.950,73.80M,71.000%,-28.60M,-38.753%,-28.20M,-38.211%,-0.050,N/A,2021/03
Property Development,00095.HK,LVGEM CHINA,2.000,6.47B,-16.000%,392.15M,6.065%,4.12B,63.659%,0.811,106.604%,2020/12
Property Development,00106.HK,LANDSEA PPT,0.670,10.72B,12.000%,333.31M,3.110%,-119.87M,-1.118%,-0.026,N/A,2020/12
Property Development,00112.HK,LERTHAI GROUP,0.890,1.11B,21.000%,978.71M,88.468%,136.71M,12.357%,0.180,-88.462%,2019/12
Property Development,00115.HK,GRAND FIELD GP,0.770,1.14B,"32,120.000%",312.09M,27.347%,34.68M,3.039%,0.142,N/A,2020/12
Property Development,00119.HK,POLY PROPERTY,2.010,31.28B,-21.000%,6.81B,21.783%,1.88B,6.010%,0.514,-50.946%,2020/12
