category,stockNo,stockName,lastPrice,change,changePercent,volumn,turnover,PE,PB,earningYield,marketCap
Gamble,08156.HK,SINOPHARM TECH,0.260,-0.010,-3.704%,7.48M,1.94M,No Profit,N/A,0.00%,1.13B
Gamble,08279.HK,AGTECH HOLDINGS,0.350,+0.005,+1.449%,3.35M,1.19M,No Profit,1.41,0.00%,4.09B
Funeral,01448.HK,FU SHOU YUAN,7.500,-0.080,-1.055%,3.95M,29.76M,22.97,3.18,1.18%,17.40B
Funeral,06966.HK,C WAN TONG YUAN,0.410,0.000,0.000%,0.00,0.00,19.11,2.02,0.00%,410.00M
Funeral,08108.HK,GRAND PEACE,0.050,0.000,0.000%,0.00,0.00,No Profit,0.15,0.00%,46.14M
Funeral,08296.HK,SINO-LIFE GROUP,0.158,0.000,0.000%,2.96M,468.23K,No Profit,0.83,0.00%,117.32M
Gamble,08400.HK,ASIA PIONEER,0.038,0.000,0.000%,0.00,0.00,No Profit,0.68,0.00%,38.00M
"Diversified Tourism, Hotel & Restaurant",00071.HK,MIRAMAR HOTEL,15.280,-0.020,-0.131%,15.00K,229.56K,34.73,0.53,3.27%,10.56B
"Diversified Tourism, Hotel & Restaurant",02006.HK,JINJIANGCAPITAL,1.650,-0.020,-1.198%,1.14M,1.89M,25.83,0.81,0.74%,2.30B
Department Stores & Shopping Malls,00039.HK,CH BEIDAHUANG,0.068,0.000,0.000%,1.55M,102.06K,28.33,0.33,0.00%,423.31M
Department Stores & Shopping Malls,00097.HK,HENDERSON INV,0.405,-0.005,-1.220%,1.58M,643.44K,9.64,0.92,4.94%,1.23B
Department Stores & Shopping Malls,00162.HK,CENTURY GINWA,0.191,-0.002,-1.036%,0.00,0.00,No Profit,0.09,0.00%,219.59M
Department Stores & Shopping Malls,00244.HK,SINCERE,0.550,+0.160,+41.026%,56.92M,26.15M,No Profit,N/A,0.00%,722.68M
Department Stores & Shopping Malls,00289.HK,WING ON CO,17.360,-0.440,-2.472%,4.00K,69.52K,No Profit,0.27,4.78%,5.06B
Department Stores & Shopping Malls,00312.HK,SHIRBLE STORE,0.320,0.000,0.000%,348.00K,110.21K,No Profit,0.32,0.89%,798.40M
Department Stores & Shopping Malls,00493.HK,GOME RETAIL,0.990,-0.010,-1.000%,112.51M,112.05M,No Profit,3.64,0.00%,23.59B
Department Stores & Shopping Malls,00602.HK,JIAHUA STORES H,0.150,0.000,0.000%,0.00,0.00,No Profit,0.39,0.00%,155.63M
Department Stores & Shopping Malls,00759.HK,CEC INT'L HOLD,0.780,-0.010,-1.266%,70.00K,53.94K,42.16,1.26,0.64%,519.63M
Department Stores & Shopping Malls,00814.HK,JINGKELONG,1.180,+0.010,+0.855%,133.00K,155.95K,7.07,0.23,10.10%,214.95M
Department Stores & Shopping Malls,00825.HK,NWDS CHINA,1.430,-0.060,-4.027%,2.08M,3.00M,No Profit,0.57,0.00%,2.41B
Department Stores & Shopping Malls,00831.HK,CR ASIA,0.730,0.000,0.000%,118.00K,85.64K,0.18,0.98,535.62%,566.66M
Department Stores & Shopping Malls,00848.HK,MAOYE INT'L,0.335,0.000,0.000%,0.00,0.00,No Profit,0.11,0.00%,1.72B
Department Stores & Shopping Malls,00974.HK,SKL,0.610,0.000,0.000%,0.00,0.00,No Profit,0.62,0.00%,177.18M
Department Stores & Shopping Malls,00980.HK,LIANHUA,0.980,-0.010,-1.010%,115.00K,113.75K,No Profit,0.63,0.00%,365.15M
Department Stores & Shopping Malls,00984.HK,AEON STORES,1.750,-0.010,-0.568%,73.50K,127.55K,No Profit,0.65,5.71%,455.00M
Department Stores & Shopping Malls,01212.HK,LIFESTYLE INT'L,6.090,+0.130,+2.181%,617.72K,3.73M,67.67,2.38,0.00%,9.15B
Department Stores & Shopping Malls,02136.HK,LIFESTYLE CHI,1.250,+0.010,+0.806%,273.00K,340.69K,7.23,0.17,0.00%,1.83B
Department Stores & Shopping Malls,02213.HK,YI HUA HLDG,0.101,0.000,0.000%,0.00,0.00,No Profit,0.59,0.00%,101.32M
Department Stores & Shopping Malls,02360.HK,BEST MART 360,2.020,-0.010,-0.493%,222.00K,441.56K,24.94,5.49,2.23%,2.02B
Department Stores & Shopping Malls,03308.HK,GOLDEN EAGLE,6.870,+0.020,+0.292%,3.00K,20.59K,6.15,1.24,8.12%,11.41B
Department Stores & Shopping Malls,03368.HK,PARKSON GROUP,0.300,-0.005,-1.639%,72.50K,21.76K,No Profit,0.16,0.00%,790.36M
Department Stores & Shopping Malls,06808.HK,SUNART RETAIL,5.660,-0.120,-2.076%,11.08M,62.73M,12.92,1.74,2.30%,53.99B
Airlne Support,00357.HK,MEILAN AIRPORT,30.850,-1.600,-4.931%,1.81M,56.31M,No Profit,3.25,0.00%,7.00B
Airlne Support,01848.HK,CALC,6.100,+0.030,+0.494%,192.00K,1.17M,12.66,1.13,6.56%,4.38B
"Automobile Retailing, Maintenance & Repair",00138.HK,CCT FORTIS,0.180,-0.002,-1.099%,118.00K,21.52K,No Profit,0.07,0.00%,157.16M
"Automobile Retailing, Maintenance & Repair",00360.HK,NEW FOCUS AUTO,0.086,0.000,0.000%,0.00,0.00,No Profit,1.66,0.00%,582.02M
"Automobile Retailing, Maintenance & Repair",00693.HK,TAN CHONG INT'L,2.030,0.000,0.000%,0.00,0.00,431.92,0.38,1.97%,4.09B
"Automobile Retailing, Maintenance & Repair",00720.HK,AUTO ITALIA,0.190,0.000,0.000%,0.00,0.00,No Profit,2.49,0.00%,1.01B
"Automobile Retailing, Maintenance & Repair",00872.HK,TUS INTL,0.115,0.000,0.000%,0.00,0.00,No Profit,1.26,0.00%,237.32M
"Automobile Retailing, Maintenance & Repair",00881.HK,ZHONGSHENG HLDG,69.650,+5.050,+7.817%,11.89M,829.47M,23.95,5.04,0.83%,161.27B
Advertising,00100.HK,CLEAR MEDIA,7.120,0.000,0.000%,0.00,0.00,No Profit,1.65,0.00%,3.86B
"Automobile Retailing, Maintenance & Repair",00970.HK,SPARKLE ROLL,0.217,-0.005,-2.252%,25.13M,5.33M,31.00,0.45,0.00%,1.19B
"Automobile Retailing, Maintenance & Repair",01268.HK,MEIDONG AUTO,41.850,-0.500,-1.181%,3.10M,130.15M,56.46,13.54,1.10%,52.11B
"Automobile Retailing, Maintenance & Repair",01293.HK,GRAND BAOXIN,1.280,-0.020,-1.538%,7.37M,9.39M,15.34,0.38,0.00%,3.63B
"Automobile Retailing, Maintenance & Repair",01365.HK,RUNDONG AUTO,0.300,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,343.96M
"Automobile Retailing, Maintenance & Repair",01728.HK,ZHENGTONGAUTO,0.790,-0.010,-1.250%,3.89M,3.10M,No Profit,0.44,0.00%,2.17B
Advertising,00150.HK,HYPEBEAST,1.140,-0.010,-0.870%,1.36M,1.54M,32.85,6.46,0.00%,2.34B
Advertising,00205.HK,SEEC MEDIA,0.560,+0.030,+5.660%,153.00K,85.70K,No Profit,0.78,0.00%,345.04M
Advertising,00550.HK,KK CULTURE,0.800,-0.060,-6.977%,104.00K,83.72K,No Profit,2.61,0.00%,357.29M
Advertising,00623.HK,SINOMEDIA,1.160,0.000,0.000%,38.00K,44.27K,5.38,0.28,7.76%,537.86M
Advertising,00745.HK,CN CULTURE GP,0.192,0.000,0.000%,135.00K,23.95K,No Profit,1.72,0.00%,135.67M
"Automobile Retailing, Maintenance & Repair",01771.HK,SUNFONDA GP,2.120,0.000,0.000%,0.00,0.00,7.41,0.49,3.77%,1.27B
"Automobile Retailing, Maintenance & Repair",01861.HK,PRECIOUS DRAGON,4.250,-0.050,-1.163%,120.00K,512.24K,18.64,4.40,1.05%,994.15M
"Automobile Retailing, Maintenance & Repair",01872.HK,GUAN CHAO HLDGS,0.160,0.000,0.000%,35.00K,5.60K,7.58,0.50,0.00%,144.00M
"Automobile Retailing, Maintenance & Repair",01959.HK,CENT UNIT HLDG,0.740,+0.010,+1.370%,64.00K,47.44K,14.47,1.22,2.70%,373.34M
"Automobile Retailing, Maintenance & Repair",03669.HK,YONGDA AUTO,13.840,-0.060,-0.432%,11.70M,164.04M,13.66,1.94,4.61%,27.35B
Advertising,00888.HK,BISON FINANCE,0.340,-0.010,-2.857%,320.00K,109.49K,No Profit,1.04,0.00%,483.43M
Advertising,01000.HK,BEIJING MEDIA,0.740,0.000,0.000%,0.00,0.00,No Profit,0.20,0.00%,40.63M
Advertising,01163.HK,ADTIGER CORP,0.900,+0.020,+2.273%,212.50K,181.28K,75.51,2.84,0.00%,560.25M
Advertising,01351.HK,BRIGHT FUTURE,1.280,-0.100,-7.246%,718.00K,938.38K,6.32,1.82,0.00%,640.00M
Advertising,01490.HK,CHESHI,0.770,-0.040,-4.938%,1.72M,1.35M,8.08,N/A,0.00%,950.64M
"Automobile Retailing, Maintenance & Repair",03836.HK,HARMONY AUTO,3.430,+0.020,+0.587%,1.51M,5.18M,10.66,0.61,2.30%,5.41B
"Automobile Retailing, Maintenance & Repair",08123.HK,SINOFORTUNE FIN,0.022,+0.001,+4.762%,1.66M,35.14K,No Profit,0.83,0.00%,170.48M
"Automobile Retailing, Maintenance & Repair",08126.HK,G. A. HOLDINGS,0.240,0.000,0.000%,0.00,0.00,2.16,0.16,0.00%,114.31M
"Automobile Retailing, Maintenance & Repair",08135.HK,ZMFY GLASS,0.355,-0.010,-2.740%,0.00,0.00,No Profit,1.37,0.00%,281.59M
"Automobile Retailing, Maintenance & Repair",08283.HK,ZHENG LI HLDG,0.153,0.000,0.000%,0.00,0.00,No Profit,7.43,0.00%,306.00M
Advertising,01640.HK,RUICHENG CHINA,0.650,0.000,0.000%,0.00,0.00,76.81,1.00,0.00%,260.00M
Advertising,01753.HK,DUIBA,2.160,-0.110,-4.846%,3.86M,8.46M,No Profit,1.51,0.00%,2.33B
Advertising,01761.HK,BABYTREE GROUP,1.050,-0.040,-3.670%,339.00K,358.99K,No Profit,0.63,0.00%,1.74B
Advertising,01762.HK,WANKA ONLINE,0.750,-0.020,-2.597%,2.76M,2.08M,12.59,0.69,0.00%,1.11B
Advertising,01831.HK,SHIFANG HLDG,0.385,-0.005,-1.282%,110.00K,42.35K,No Profit,5.42,0.00%,350.01M
"Automobile Retailing, Maintenance & Repair",08418.HK,OPTIMA AUTO,1.510,-0.040,-2.581%,470.00K,698.90K,No Profit,20.03,0.00%,1.28B
Advertising,01860.HK,MOBVISTA,9.880,-0.120,-1.200%,15.99M,161.65M,No Profit,7.30,0.00%,15.87B
Advertising,01917.HK,DOUMOB,0.124,0.000,0.000%,0.00,0.00,No Profit,1.08,0.00%,285.20M
Advertising,01993.HK,ASIARAY,2.000,0.000,0.000%,0.00,0.00,No Profit,3.23,0.00%,951.35M
Advertising,02013.HK,WEIMOB INC,15.900,-1.220,-7.126%,70.58M,1.14B,No Profit,28.70,0.00%,38.66B
Advertising,02131.HK,NETJOY,6.320,-0.310,-4.676%,1.86M,11.84M,31.01,1.55,0.00%,5.06B
Real Estate Investment Trust,00405.HK,YUEXIU REIT,4.000,0.000,0.000%,1.74M,6.94M,18.64,0.76,5.73%,13.28B
Advertising,06113.HK,UTS MARKETING,1.130,-0.010,-0.877%,26.00K,29.90K,14.57,2.92,7.52%,452.00M
Advertising,06988.HK,JOY SPREADER,3.080,-0.090,-2.839%,11.20M,34.23M,39.59,3.12,0.00%,6.73B
Advertising,08087.HK,CHINA 33MEDIA,0.089,-0.001,-1.111%,260.00K,23.14K,No Profit,0.22,0.00%,61.52M
Advertising,08091.HK,OOH HOLDINGS,0.084,-0.016,-16.000%,550.00K,46.62K,No Profit,1.14,0.00%,60.48M
Advertising,08112.HK,CORNERSTONE FIN,0.300,0.000,0.000%,500.00,120.00,No Profit,0.10,0.00%,17.21M
Advertising,08121.HK,GURU ONLINE,0.070,+0.002,+2.941%,25.08M,1.75M,No Profit,4.70,0.00%,116.70M
Real Estate Investment Trust,00435.HK,SUNLIGHT REIT,4.850,+0.360,+8.018%,7.27M,34.26M,No Profit,0.55,5.53%,8.11B
Real Estate Investment Trust,00625.HK,RREEF CCT REIT,4.350,0.000,0.000%,0.00,0.00,"108,750.00",N/A,0.00%,2.02B
Real Estate Investment Trust,00778.HK,FORTUNE REIT,8.390,+0.070,+0.841%,2.63M,22.00M,No Profit,0.57,5.62%,16.47B
Real Estate Investment Trust,00808.HK,PROSPERITY REIT,3.130,+0.160,+5.387%,7.53M,23.18M,No Profit,0.63,5.72%,4.80B
Real Estate Investment Trust,00823.HK,LINK REIT,74.650,-0.600,-0.797%,4.63M,345.80M,130.97,0.98,3.89%,155.41B
Airline Services,00293.HK,CATHAY PAC AIR,6.550,-0.010,-0.152%,9.28M,60.72M,No Profit,0.58,0.00%,42.16B
Advertising,08130.HK,DADI INTL GROUP,0.063,-0.004,-5.970%,1.49M,90.32K,No Profit,0.61,0.00%,229.36M
Advertising,08202.HK,INNO-TECH HOLD,0.032,0.000,0.000%,0.00,0.00,0.94,N/A,0.00%,36.10M
Advertising,08238.HK,WINTO GROUP,0.115,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,49.68M
Real Estate Investment Trust,01275.HK,NEW CENT REIT,2.010,0.000,0.000%,0.00,0.00,No Profit,1.00,99.50%,1.99B
Real Estate Investment Trust,01426.HK,SPRING REIT,2.870,+0.010,+0.350%,54.00K,156.28K,No Profit,0.55,6.97%,4.21B
Real Estate Investment Trust,01503.HK,CMC REIT,2.770,-0.010,-0.360%,801.00K,2.22M,9.30,0.67,8.55%,3.12B
Real Estate Investment Trust,01881.HK,REGAL REIT,1.670,0.000,0.000%,444.00K,738.80K,No Profit,0.46,8.14%,5.44B
Real Estate Investment Trust,02191.HK,SF REIT,4.320,-0.060,-1.370%,324.00K,1.41M,N/A,N/A,0.00%,3.46B
Airline Services,00670.HK,CHINA EAST AIR,3.240,-0.050,-1.520%,6.93M,22.54M,No Profit,0.79,0.00%,16.77B
Airline Services,00694.HK,BEIJING AIRPORT,5.090,-0.060,-1.165%,10.93M,55.42M,No Profit,0.88,0.00%,9.57B
Airline Services,00753.HK,AIR CHINA,5.650,-0.060,-1.051%,10.11M,57.28M,No Profit,0.89,0.00%,25.78B
Airline Services,01055.HK,CHINA SOUTH AIR,4.790,-0.030,-0.622%,9.96M,47.59M,No Profit,0.89,0.00%,20.48B
Airline Services,02588.HK,BOC AVIATION,66.400,+0.900,+1.374%,1.73M,113.52M,11.73,1.24,3.00%,46.08B
Real Estate Investment Trust,02778.HK,CHAMPION REIT,4.390,+0.020,+0.458%,3.01M,13.17M,No Profit,0.51,5.70%,26.00B
Real Estate Investment Trust,87001.HK,HUI XIAN REIT,1.760,-0.010,-0.565%,683.33K,1.20M,No Profit,0.42,4.92%,10.70B
Property Management & Agency,00108.HK,GR PROPERTIES,0.960,0.000,0.000%,2.42M,2.32M,"4,800.00",1.24,0.00%,3.07B
Property Management & Agency,00352.HK,FORTUNE SUN,0.800,0.000,0.000%,0.00,0.00,"3,355.99",4.43,0.00%,196.95M
Property Management & Agency,00459.HK,MIDLAND IC&I,0.178,+0.002,+1.136%,1.23M,222.41K,No Profit,0.30,0.00%,321.34M
Property Management & Agency,00606.HK,SCE CM,4.000,+0.300,+8.108%,97.99M,382.97M,N/A,N/A,0.00%,8.00B
Property Management & Agency,00733.HK,HOPEFLUENT,3.100,-0.130,-4.025%,594.00K,1.89M,11.36,0.60,1.61%,2.09B
Property Management & Agency,00873.HK,SHIMAO SERVICES,26.600,-0.250,-0.931%,4.99M,131.67M,65.64,8.18,0.41%,62.88B
Property Management & Agency,00982.HK,HUAFA PPT SER,0.201,-0.005,-2.427%,4.86M,985.20K,54.96,N/A,0.00%,2.02B
Property Management & Agency,01153.HK,JIAYUAN SER,3.870,0.000,0.000%,926.00K,3.56M,23.19,3.89,1.65%,2.37B
Property Management & Agency,01200.HK,MIDLAND HOLDING,1.660,+0.060,+3.750%,2.35M,3.83M,9.04,1.09,0.00%,1.19B
Property Management & Agency,01209.HK,CHINA RES MIXC,51.100,-2.050,-3.857%,6.03M,310.45M,88.40,7.85,0.31%,116.64B
Property Management & Agency,01417.HK,RIVERINE CHINA,1.880,0.000,0.000%,0.00,0.00,22.53,2.57,1.17%,761.40M
Property Management & Agency,01502.HK,FIN STREET PPT,4.830,+0.015,+0.312%,331.00K,1.67M,12.39,1.43,3.80%,499.91M
Property Management & Agency,01516.HK,SUNAC SERVICES,27.900,-0.950,-3.293%,6.27M,175.73M,93.63,7.50,0.25%,86.59B
Property Management & Agency,01538.HK,ZHONG AO HOME,0.770,-0.010,-1.282%,92.00K,71.40K,4.12,0.68,3.90%,658.00M
Property Management & Agency,01730.HK,LHN,2.060,+0.030,+1.478%,270.00K,548.78K,6.07,1.20,3.43%,842.43M
Property Management & Agency,01755.HK,S-ENJOY SERVICE,23.500,+0.230,+0.988%,4.01M,91.75M,35.85,12.61,1.40%,20.49B
Property Management & Agency,01778.HK,COLOUR LIFE,3.070,+0.020,+0.656%,404.00K,1.24M,7.38,0.86,3.39%,4.47B
Property Management & Agency,01895.HK,XINYUAN PM,2.120,0.000,0.000%,0.00,0.00,8.72,1.69,2.45%,1.20B
Property Management & Agency,01922.HK,YINCHENG LS,4.730,-0.360,-7.073%,234.00K,1.12M,15.87,6.11,1.95%,1.26B
Property Management & Agency,01941.HK,YE XING GROUP,0.680,-0.010,-1.449%,26.00K,17.32K,10.57,0.99,0.00%,275.61M
Property Management & Agency,01971.HK,RSUN SER,4.270,+0.042,+0.993%,10.21M,43.71M,17.91,2.15,1.45%,1.77B
Property Management & Agency,01995.HK,EVERSUNSHINE LS,18.800,-0.480,-2.490%,5.37M,99.99M,65.02,9.11,0.45%,31.40B
Property Management & Agency,02048.HK,E-HOUSE ENT,6.070,-0.570,-8.584%,4.05M,25.19M,24.13,0.87,1.03%,10.62B
Property Management & Agency,02080.HK,AUX INTL,0.550,0.000,0.000%,280.00K,164.14K,No Profit,1.52,0.00%,206.24M
Property Management & Agency,02107.HK,FIRST SERVICE,0.960,-0.030,-3.030%,2.75M,2.63M,6.78,1.23,4.14%,960.00M
Property Management & Agency,02146.HK,ROISERV,10.780,-0.520,-4.602%,437.00K,4.86M,9.32,N/A,1.66%,1.01B
Property Management & Agency,02156.HK,C&D PROPERTY,5.100,+0.290,+6.029%,2.03M,10.30M,47.54,12.47,0.00%,6.00B
Property Management & Agency,02168.HK,KAISA PROSPER,29.450,-0.750,-2.483%,409.30K,12.10M,16.36,3.04,2.34%,4.54B
Property Management & Agency,02310.HK,TIMES UNI GP,0.083,-0.008,-8.791%,594.00K,49.70K,No Profit,2.54,0.00%,90.71M
Property Management & Agency,02606.HK,LANGUANGJUSTBON,53.850,+2.000,+3.857%,183.70K,9.84M,15.11,3.14,0.00%,9.53B
Property Investment,00010.HK,HANG LUNG GROUP,19.880,+0.080,+0.404%,2.10M,41.45M,No Profit,0.29,4.13%,27.07B
Property Investment,00014.HK,HYSAN DEV,30.950,0.000,0.000%,1.59M,49.02M,No Profit,0.44,4.65%,32.18B
Property Investment,00016.HK,SHK PPT,115.000,-0.700,-0.605%,3.73M,430.09M,14.16,0.58,4.30%,333.24B
Property Investment,00026.HK,CHINA MOTOR BUS,109.000,-1.200,-1.089%,9.20K,1.01M,44.31,0.59,25.23%,4.94B
Property Investment,00029.HK,DYNAMIC HOLD,13.800,-0.200,-1.429%,24.00K,330.36K,No Profit,1.65,0.15%,3.28B
Property Investment,00036.HK,FE HLDGS INTL,0.180,+0.035,+24.138%,6.10M,1.13M,2.10,0.27,0.00%,196.04M
Property Investment,00041.HK,GREAT EAGLE H,25.950,-0.450,-1.705%,131.96K,3.45M,No Profit,0.32,10.91%,18.97B
Property Investment,00063.HK,CHI ASIA VALLEY,0.104,+0.002,+1.961%,22.00K,2.23K,No Profit,1.69,0.00%,293.19M
Property Investment,00075.HK,Y.T. REALTY,1.490,0.000,0.000%,0.00,0.00,No Profit,0.67,0.00%,1.19B
Property Investment,00089.HK,TAI SANG LAND,4.350,0.000,0.000%,0.00,0.00,No Profit,0.16,5.06%,1.25B
Property Investment,00093.HK,TERMBRAY IND,0.295,0.000,0.000%,0.00,0.00,13.59,0.68,0.00%,786.95M
Construction Materials,00058.HK,SUNWAY INT'L,0.440,+0.030,+7.317%,20.00K,8.80K,No Profit,0.40,0.00%,79.02M
Property Investment,00101.HK,HANG LUNG PPT,18.920,+0.060,+0.318%,4.89M,92.12M,No Profit,0.62,4.02%,85.12B
Property Investment,00105.HK,ASSO INT HOTELS,13.600,0.000,0.000%,0.00,0.00,No Profit,0.46,3.24%,4.90B
Property Investment,00127.HK,CHINESE EST H,3.690,+0.070,+1.934%,109.50K,402.26K,11.32,0.25,0.54%,7.04B
Property Investment,00131.HK,CHEUK NANG HOLD,2.770,0.000,0.000%,0.00,0.00,34.63,0.27,4.51%,1.81B
Property Investment,00141.HK,SKYCHINAFORTUNE,0.181,0.000,0.000%,0.00,0.00,No Profit,0.10,0.00%,62.51M
Construction Materials,00366.HK,LUKS GROUP (VN),1.620,0.000,0.000%,458.00K,739.20K,13.28,0.33,3.09%,814.14M
Construction Materials,00380.HK,CHINA PIPE,0.130,-0.004,-2.985%,0.00,0.00,8.61,0.31,0.00%,173.19M
Construction Materials,00691.HK,SHANSHUI CEMENT,2.020,-0.060,-2.885%,94.00K,190.15K,2.32,0.47,0.00%,8.80B
Construction Materials,00695.HK,DONGWU CEMENT,2.760,+0.100,+3.759%,2.78M,7.66M,25.45,2.40,2.63%,1.52B
Construction Materials,00713.HK,WORLD HOUSEWARE,0.890,-0.010,-1.111%,102.00K,90.92K,9.86,0.37,0.00%,683.09M
Property Investment,00149.HK,CH AGRI-PROD EX,0.132,+0.003,+2.326%,495.00K,65.65K,2.68,0.73,0.00%,1.31B
Property Investment,00158.HK,MELBOURNE ENT,159.100,0.000,0.000%,0.00,0.00,No Profit,0.51,3.21%,3.98B
Property Investment,00163.HK,EMPEROR INT'L,1.150,+0.020,+1.770%,268.33K,305.00K,No Profit,0.16,2.96%,4.23B
Property Investment,00171.HK,SILVER GRANT,0.600,0.000,0.000%,380.00K,226.92K,No Profit,0.21,0.00%,1.38B
Property Investment,00191.HK,LAI SUN INT'L,4.960,-0.100,-1.976%,58.00K,287.96K,No Profit,0.11,0.00%,2.92B
Property Development,00009.HK,KEYNE LTD,0.063,-0.006,-8.696%,720.00K,45.53K,No Profit,1.78,0.00%,224.83M
Infrastructure ,00240.HK,BUILD KING HOLD,1.110,0.000,0.000%,1.71M,1.91M,3.13,0.87,6.31%,1.38B
Construction Materials,00726.HK,DIT GROUP,0.810,0.000,0.000%,1.74M,1.43M,14.29,1.06,0.00%,2.27B
Construction Materials,00743.HK,ASIA CEMENT CH,6.030,-0.050,-0.822%,2.26M,13.70M,2.97,0.49,10.10%,9.45B
Construction Materials,00914.HK,CONCH CEMENT,40.700,-0.500,-1.214%,6.40M,260.68M,5.14,1.12,6.21%,52.89B
Construction Materials,01001.HK,HK SH ALLIANCE,0.255,-0.005,-1.923%,0.00,0.00,98.08,0.18,3.92%,163.51M
Construction Materials,01102.HK,ENVIRO ENERGY,0.090,-0.001,-1.099%,114.00K,10.03K,No Profit,0.09,0.00%,48.82M
Construction Materials,01118.HK,GOLIK HOLDINGS,0.820,0.000,0.000%,0.00,0.00,5.03,0.46,4.27%,470.99M
Property Investment,00207.HK,JOY CITY PPT,0.455,0.000,0.000%,1.45M,669.30K,5.30,0.18,6.59%,6.48B
Property Investment,00212.HK,NANYANG HOLD,40.050,+0.050,+0.125%,4.00K,160.30K,15.83,0.28,3.50%,1.37B
Property Investment,00214.HK,ASIA ORIENT,1.350,-0.010,-0.735%,2.00K,2.70K,1.13,0.08,2.67%,1.14B
Property Investment,00216.HK,CHINNEY INV,1.870,0.000,0.000%,60.00K,112.32K,13.36,0.13,2.67%,1.03B
Property Investment,00224.HK,PIONEER GLOBAL,1.080,0.000,0.000%,0.00,0.00,4.26,0.17,0.00%,1.25B
Property Development,00012.HK,HENDERSON LAND,36.600,-0.200,-0.543%,3.71M,135.90M,17.35,0.54,4.92%,177.19B
Property Development,00017.HK,NEW WORLD DEV,39.950,-0.400,-0.991%,4.00M,160.03M,92.91,0.48,5.11%,101.57B
Property Development,00021.HK,GREAT CHI PPT,0.188,0.000,0.000%,0.00,0.00,No Profit,0.76,0.00%,747.34M
Property Development,00028.HK,TIAN AN,4.620,-0.080,-1.702%,10.00K,46.33K,11.27,0.27,4.33%,6.93B
Property Development,00034.HK,KOWLOON DEV,9.200,+0.020,+0.218%,634.00K,5.83M,13.53,0.62,8.70%,10.83B
Infrastructure ,00390.HK,CHINA RAILWAY,4.020,-0.030,-0.741%,7.21M,29.03M,3.50,0.33,5.34%,16.91B
Infrastructure ,00498.HK,BLUE RIVER HLDG,0.370,-0.015,-3.896%,430.00K,156.60K,2.70,0.11,0.00%,408.45M
Infrastructure ,00610.HK,WAI KEE HOLD,4.130,-0.030,-0.721%,130.00K,536.46K,3.02,0.33,7.75%,3.28B
Infrastructure ,00871.HK,CH DREDG ENV,0.137,+0.007,+5.385%,505.00K,69.60K,No Profit,0.13,0.00%,206.03M
Infrastructure ,01034.HK,FULLWEALTH,1.590,-0.010,-0.625%,3.03M,4.84M,No Profit,22.88,0.00%,2.54B
Construction Materials,01252.HK,CHINA TIANRUI,5.880,-0.040,-0.676%,1.15M,6.67M,7.83,0.99,0.00%,17.28B
Construction Materials,01312.HK,TONGFANG KONTA,0.075,+0.003,+4.167%,9.92M,759.14K,No Profit,0.35,0.00%,419.14M
Construction Materials,01313.HK,CHINARES CEMENT,7.250,-0.130,-1.762%,14.17M,103.08M,5.65,1.02,8.48%,50.63B
Construction Materials,01592.HK,ANCHORSTONE,2.170,-0.640,-22.776%,3.72M,8.49M,No Profit,21.42,0.00%,2.71B
Construction Materials,01653.HK,MOS HOUSE,0.365,-0.030,-7.595%,80.00K,30.40K,8.43,0.78,0.00%,87.60M
Construction Materials,01847.HK,GHPC,1.600,-0.050,-3.030%,60.00K,96.34K,2.92,0.46,9.17%,214.21M
Property Investment,00225.HK,POKFULAM,11.740,0.000,0.000%,0.00,0.00,No Profit,0.24,3.24%,1.29B
Property Investment,00237.HK,SAFETY GODOWN,3.780,-0.020,-0.526%,98.00K,370.72K,No Profit,0.35,15.08%,1.53B
Property Investment,00247.HK,TST PROPERTIES,23.900,0.000,0.000%,0.00,0.00,49.79,0.57,2.30%,46.26B
Property Investment,00251.HK,SEA HOLDINGS,7.170,-0.050,-0.693%,164.00K,1.18M,31.17,0.74,0.70%,4.60B
Property Development,00035.HK,FE CONSORT INTL,3.070,+0.140,+4.778%,2.78M,8.47M,13.41,0.53,6.19%,7.35B
Property Development,00050.HK,HK FERRY (HOLD),5.850,0.000,0.000%,62.00K,359.74K,83.57,0.35,4.27%,2.08B
Property Development,00051.HK,HARBOUR CENTRE,8.500,0.000,0.000%,0.00,0.00,No Profit,0.39,1.65%,6.02B
Property Development,00059.HK,SKYFAME REALTY,0.950,0.000,0.000%,5.54M,5.27M,6.53,1.46,3.16%,8.01B
Property Development,00081.HK,CH OVS G OCEANS,4.510,-0.010,-0.221%,2.47M,11.13M,2.96,0.54,7.65%,15.44B
Property Development,00083.HK,SINO LAND,12.520,+0.280,+2.288%,7.44M,91.77M,52.17,0.61,4.39%,92.60B
Infrastructure ,01186.HK,CHINA RAIL CONS,5.100,-0.030,-0.585%,7.91M,40.34M,2.85,0.23,5.38%,10.59B
Infrastructure ,01343.HK,WEI YUAN HLDG,0.130,+0.003,+2.362%,215.00K,27.68K,No Profit,0.48,0.00%,138.32M
Infrastructure ,01372.HK,C CARBONNEUTRAL,5.780,-0.020,-0.345%,1.44M,8.33M,3.83,N/A,0.00%,1.50B
Infrastructure ,01421.HK,KINGBO STRIKE,0.084,-0.005,-5.618%,50.00K,4.10K,No Profit,0.41,0.00%,116.78M
