category,stockNo,stockName,lastPrice,currentRatio,quickRatio,ROA,ROE,grossProfitMargin,netProgitMargin,payout,debtEquityRatio,yrEnd
Hotels & Resorts,00184.HK,KECK SENG INV,3.850,1.56,1.30,-9.78%,-18.14%,86.54%,-84.51%,N/A,48.23%,2020/12
Hotels & Resorts,00193.HK,CAPITAL ESTATE,0.405,3.15,2.58,-2.47%,-3.00%,33.59%,-29.40%,N/A,0.58%,2020/07
Hotels & Resorts,00201.HK,MAGNIFICENT,0.120,0.57,0.56,-4.61%,-5.39%,3.93%,-90.29%,N/A,12.88%,2020/12
Hotels & Resorts,00219.HK,SHUNHO PROPERTY,1.260,0.71,0.70,-1.88%,-2.48%,30.98%,-44.25%,N/A,11.77%,2020/12
Hotels & Resorts,00253.HK,SHUNHO HOLDINGS,0.880,0.68,0.67,-1.06%,-2.47%,30.98%,-24.75%,N/A,22.38%,2020/12
Hotels & Resorts,00292.HK,ASIA STD HOTEL,0.245,2.72,2.37,5.13%,12.24%,97.16%,63.59%,N/A,116.57%,2021/03
Hotels & Resorts,00355.HK,CENTURY C INT'L,0.425,0.98,0.29,-1.14%,-6.29%,27.70%,-37.07%,N/A,237.44%,2020/12
Hotels & Resorts,00542.HK,TFG INTL GP,0.127,1.03,0.23,-5.43%,-142.54%,67.84%,-973.68%,N/A,"1,263.67%",2020/12
Hotels & Resorts,00557.HK,TIANYUAN HEALTH,1.700,6.96,6.90,-17.07%,-24.33%,66.69%,-115.55%,N/A,20.58%,2020/12
Hotels & Resorts,00582.HK,LANDING INTL,0.246,1.55,0.74,-15.61%,-20.25%,85.94%,-268.40%,N/A,24.36%,2020/12
Hotels & Resorts,00617.HK,PALIBURG HOLD,2.120,0.96,0.27,-1.87%,-6.67%,27.05%,-60.59%,N/A,155.20%,2020/12
Hotels & Resorts,01189.HK,GBA DYNAMIC,0.194,22.52,22.51,-3.37%,-3.91%,16.88%,-106.69%,N/A,1.35%,2020/12
Hotels & Resorts,01215.HK,KAI YUAN HLDGS,0.040,0.63,0.63,-8.18%,-15.05%,-172.72%,-881.32%,N/A,73.60%,2020/12
Hotels & Resorts,01221.HK,SINO HOTELS,2.450,37.21,37.20,-1.73%,-1.75%,43.89%,-47.51%,-14.81%,0.12%,2020/06
Hotels & Resorts,01270.HK,LANGHAM-SS,0.980,0.54,0.54,-18.79%,-34.85%,100.00%,"-1,360.25%",N/A,78.57%,2020/12
Hotels & Resorts,01355.HK,LEGEND STRAT,0.350,0.30,0.30,0.89%,29.17%,100.00%,4.07%,N/A,"3,033.76%",2020/12
Hotels & Resorts,01832.HK,SAI LEISURE,0.930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hotels & Resorts,01992.HK,FOSUN TOURISM,11.880,1.02,0.87,-6.64%,-50.10%,30.66%,-36.37%,N/A,451.03%,2020/12
Hotels & Resorts,02943.HK,HUAZHU-S,40.800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hotels & Resorts,08237.HK,LINK HOLDINGS,0.031,0.38,0.38,-5.81%,-14.30%,52.49%,-83.67%,N/A,102.38%,2020/12
Hotels & Resorts,08308.HK,GUDOU HLDGS,0.475,0.67,0.32,0.24%,0.63%,45.47%,2.25%,N/A,65.96%,2020/12
Gamble,00027.HK,GALAXY ENT,60.700,0.86,0.85,-4.28%,-5.89%,100.00%,-30.86%,N/A,14.21%,2020/12
Gamble,00070.HK,RICH GOLDMAN,0.130,62.83,62.83,-6.99%,-7.19%,86.62%,-158.93%,N/A,N/A,2020/06
Gamble,00102.HK,SUMMIT ASCENT,0.690,35.17,35.12,0.25%,0.29%,100.00%,4.74%,N/A,5.80%,2020/12
Gamble,00200.HK,MELCO INT'L DEV,14.020,1.21,1.19,-6.65%,-59.00%,100.00%,-47.31%,N/A,503.05%,2020/12
Gamble,00296.HK,EMPEROR E HOTEL,1.130,9.68,9.65,-3.03%,-4.01%,-34.27%,-58.83%,-53.33%,0.62%,2021/03
Gamble,00880.HK,SJM HOLDINGS,8.500,0.53,0.52,-5.74%,-12.33%,100.00%,-40.30%,N/A,81.43%,2020/12
Gamble,00959.HK,CENTURY ENT INT,0.410,0.51,0.51,-37.59%,186.99%,17.47%,"-5,914.58%",N/A,-557.53%,2021/03
Gamble,01076.HK,IMPERIAL PAC,0.010,0.11,0.11,-33.94%,104.41%,-94.34%,"-10,766.69%",N/A,-159.16%,2020/12
Gamble,01128.HK,WYNN MACAU,12.180,1.80,1.77,-13.97%,142.73%,100.00%,-94.80%,N/A,-978.42%,2020/12
Gamble,01180.HK,PARADISE ENT,0.990,2.20,1.79,-28.64%,-51.88%,4.15%,-53.78%,N/A,42.20%,2020/12
Gamble,01182.HK,SUCCESS DRA-NEW,0.760,1.75,1.61,-10.11%,-22.27%,11.34%,-6.02%,N/A,59.90%,2021/03
Funeral,00922.HK,ANXIANYUAN CH,0.236,3.27,1.57,5.99%,8.95%,71.94%,26.88%,41.38%,14.65%,2021/03
Gamble,01245.HK,NIRAKU,0.232,0.75,0.75,-7.07%,-26.40%,100.00%,-29.56%,N/A,241.34%,2021/03
Gamble,01371.HK,CHINA ECOTOUR,0.112,0.54,0.52,-76.79%,630.34%,23.21%,-484.11%,N/A,-409.82%,2020/12
Gamble,01655.HK,OKURA HOLDINGS,0.510,1.09,1.08,-28.73%,-156.85%,100.00%,-90.23%,N/A,400.81%,2020/06
Gamble,01680.HK,MACAU LEGEND,1.030,0.36,0.34,-22.49%,-35.41%,-66.78%,-279.02%,N/A,37.72%,2020/12
Gamble,01928.HK,SANDS CHINA LTD,32.450,0.77,0.75,-14.44%,-78.95%,100.00%,-90.28%,N/A,366.25%,2020/12
Funeral,01448.HK,FU SHOU YUAN,7.500,3.03,2.49,9.28%,13.57%,100.00%,32.76%,26.98%,2.69%,2020/12
Funeral,06966.HK,C WAN TONG YUAN,0.410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Funeral,08108.HK,GRAND PEACE,0.050,1.68,1.63,-13.79%,-23.89%,45.52%,-83.66%,N/A,66.31%,2018/12
Funeral,08296.HK,SINO-LIFE GROUP,0.158,1.59,1.57,-1.07%,-2.49%,42.68%,-4.35%,N/A,32.56%,2020/12
Gamble,02282.HK,MGM CHINA,11.300,0.97,0.92,-17.53%,-103.66%,100.00%,-118.65%,N/A,425.93%,2020/12
Gamble,02933.HK,SUCCESS DRA-OLD,0.600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gamble,03918.HK,NAGACORP,7.470,1.23,1.23,4.01%,6.18%,48.60%,11.64%,91.95%,42.23%,2020/12
Gamble,06889.HK,DYNAM JAPAN,7.280,1.53,1.45,0.78%,1.79%,100.00%,2.40%,161.29%,95.38%,2021/03
Gamble,08156.HK,SINOPHARM TECH,0.260,0.24,0.22,-85.60%,220.41%,26.91%,-97.07%,N/A,-160.67%,2020/06
Gamble,08279.HK,AGTECH HOLDINGS,0.350,13.54,13.38,-3.85%,-4.19%,100.00%,-75.08%,N/A,1.91%,2020/12
Gamble,08400.HK,ASIA PIONEER,0.038,6.56,5.68,-48.00%,-57.11%,26.02%,-79.15%,N/A,3.73%,2020/12
Department Stores & Shopping Malls,00039.HK,CH BEIDAHUANG,0.068,1.37,1.02,0.58%,1.35%,16.72%,2.02%,N/A,102.49%,2020/12
Department Stores & Shopping Malls,00097.HK,HENDERSON INV,0.405,0.90,0.72,5.23%,9.43%,13.56%,6.94%,47.62%,50.04%,2020/12
Department Stores & Shopping Malls,00162.HK,CENTURY GINWA,0.191,0.25,0.24,-8.96%,-31.96%,100.00%,-159.97%,N/A,160.84%,2020/12
Department Stores & Shopping Malls,00244.HK,SINCERE,0.550,0.53,0.45,-25.36%,"4,871.25%",48.31%,-81.71%,N/A,"-14,448.10%",2021/02
Department Stores & Shopping Malls,00289.HK,WING ON CO,17.360,9.46,9.29,-2.21%,-2.38%,100.00%,-38.41%,-53.14%,0.69%,2020/12
Department Stores & Shopping Malls,00312.HK,SHIRBLE STORE,0.320,1.02,1.00,-1.77%,-3.57%,100.00%,-15.61%,-8.00%,69.76%,2020/12
Department Stores & Shopping Malls,00493.HK,GOME RETAIL,0.990,0.70,0.54,-9.92%,-142.26%,10.31%,-15.85%,N/A,856.40%,2020/12
Department Stores & Shopping Malls,00602.HK,JIAHUA STORES H,0.150,0.75,0.66,-16.31%,-57.29%,51.60%,-45.43%,N/A,178.48%,2020/12
Department Stores & Shopping Malls,00759.HK,CEC INT'L HOLD,0.780,0.74,0.26,1.09%,3.00%,32.27%,0.63%,27.03%,126.36%,2020/04
Department Stores & Shopping Malls,00814.HK,JINGKELONG,1.180,1.09,0.75,0.70%,3.21%,18.88%,0.47%,71.43%,217.30%,2020/12
Department Stores & Shopping Malls,00825.HK,NWDS CHINA,1.430,0.45,0.43,-3.69%,-11.49%,100.00%,-21.66%,N/A,141.37%,2020/06
Department Stores & Shopping Malls,00831.HK,CR ASIA,0.730,0.76,0.71,233.64%,542.53%,53.58%,263.53%,95.20%,35.42%,2020/12
Department Stores & Shopping Malls,00848.HK,MAOYE INT'L,0.335,0.61,0.19,-0.34%,-1.35%,59.69%,-2.53%,N/A,130.62%,2020/12
Department Stores & Shopping Malls,00974.HK,SKL,0.610,1.46,0.95,-2.75%,-6.93%,14.16%,-1.86%,N/A,90.84%,2020/12
Department Stores & Shopping Malls,00980.HK,LIANHUA,0.980,0.44,0.27,-1.38%,-21.98%,13.43%,-1.21%,N/A,497.41%,2020/12
Department Stores & Shopping Malls,00984.HK,AEON STORES,1.750,0.97,0.69,-0.44%,-5.24%,100.00%,-0.37%,-70.62%,693.18%,2020/12
Department Stores & Shopping Malls,01212.HK,LIFESTYLE INT'L,6.090,0.89,0.89,0.54%,3.60%,73.94%,6.95%,N/A,534.77%,2020/12
Department Stores & Shopping Malls,02136.HK,LIFESTYLE CHI,1.250,2.69,1.66,1.46%,2.31%,60.62%,18.93%,N/A,30.53%,2020/12
Department Stores & Shopping Malls,02213.HK,YI HUA HLDG,0.101,0.57,0.38,-34.90%,133.93%,100.00%,-95.09%,N/A,-150.61%,2019/12
Department Stores & Shopping Malls,02360.HK,BEST MART 360,2.020,0.96,0.40,9.92%,22.13%,31.95%,5.00%,N/A,93.42%,2021/03
Department Stores & Shopping Malls,03308.HK,GOLDEN EAGLE,6.870,0.82,0.62,6.49%,20.29%,100.00%,27.96%,49.89%,88.61%,2020/12
Department Stores & Shopping Malls,03368.HK,PARKSON GROUP,0.300,0.84,0.73,-1.73%,-6.07%,100.00%,-6.24%,N/A,185.76%,2020/12
Department Stores & Shopping Malls,06808.HK,SUNART RETAIL,5.660,1.01,0.72,5.16%,13.62%,25.00%,2.87%,29.67%,30.70%,2021/03
"Diversified Tourism, Hotel & Restaurant",00071.HK,MIRAMAR HOTEL,15.280,10.51,10.27,1.43%,1.52%,47.60%,22.96%,113.64%,0.45%,2020/12
"Diversified Tourism, Hotel & Restaurant",02006.HK,JINJIANGCAPITAL,1.650,1.06,1.04,0.48%,3.14%,19.31%,2.10%,19.03%,300.67%,2020/12
"Automobile Retailing, Maintenance & Repair",00138.HK,CCT FORTIS,0.180,2.61,2.29,-15.38%,-32.23%,10.69%,-136.44%,N/A,92.33%,2020/12
"Automobile Retailing, Maintenance & Repair",00360.HK,NEW FOCUS AUTO,0.086,1.18,1.03,-36.15%,-158.55%,11.45%,-51.19%,N/A,153.13%,2020/12
"Automobile Retailing, Maintenance & Repair",00693.HK,TAN CHONG INT'L,2.030,1.88,1.44,0.05%,0.09%,19.10%,0.08%,851.06%,32.19%,2020/12
"Automobile Retailing, Maintenance & Repair",00720.HK,AUTO ITALIA,0.190,1.32,0.85,-16.65%,-22.09%,33.70%,-70.73%,N/A,22.24%,2020/12
"Automobile Retailing, Maintenance & Repair",00872.HK,TUS INTL,0.115,0.29,0.17,-14.70%,-130.73%,16.11%,-33.70%,N/A,531.27%,2020/12
"Automobile Retailing, Maintenance & Repair",00881.HK,ZHONGSHENG HLDG,69.650,1.19,0.87,8.09%,20.93%,9.09%,3.73%,19.94%,106.88%,2020/12
"Automobile Retailing, Maintenance & Repair",00970.HK,SPARKLE ROLL,0.217,1.71,0.92,0.92%,1.41%,15.28%,0.83%,N/A,31.96%,2021/03
"Automobile Retailing, Maintenance & Repair",01268.HK,MEIDONG AUTO,41.850,1.67,1.51,9.66%,23.26%,10.07%,3.71%,62.08%,68.47%,2020/12
"Automobile Retailing, Maintenance & Repair",01293.HK,GRAND BAOXIN,1.280,1.35,1.08,0.74%,2.64%,4.98%,0.60%,N/A,92.81%,2020/12
"Automobile Retailing, Maintenance & Repair",01365.HK,RUNDONG AUTO,0.300,0.21,0.14,-119.38%,155.66%,-13.64%,-76.53%,N/A,-118.46%,2019/12
"Automobile Retailing, Maintenance & Repair",01728.HK,ZHENGTONGAUTO,0.790,0.80,0.70,-30.64%,-208.83%,-30.65%,-50.82%,N/A,356.96%,2020/12
"Automobile Retailing, Maintenance & Repair",01771.HK,SUNFONDA GP,2.120,1.13,0.79,2.88%,6.73%,7.04%,1.37%,27.97%,87.16%,2020/12
"Automobile Retailing, Maintenance & Repair",01861.HK,PRECIOUS DRAGON,4.250,1.20,0.95,10.20%,23.54%,33.58%,7.99%,19.52%,30.46%,2020/12
"Automobile Retailing, Maintenance & Repair",01872.HK,GUAN CHAO HLDGS,0.160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Automobile Retailing, Maintenance & Repair",01959.HK,CENT UNIT HLDG,0.740,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Automobile Retailing, Maintenance & Repair",03669.HK,YONGDA AUTO,13.840,1.26,0.96,4.68%,13.73%,9.29%,2.37%,60.53%,102.00%,2020/12
"Automobile Retailing, Maintenance & Repair",03836.HK,HARMONY AUTO,3.430,1.48,1.21,3.32%,5.48%,8.81%,2.78%,24.55%,44.65%,2020/12
"Automobile Retailing, Maintenance & Repair",08123.HK,SINOFORTUNE FIN,0.022,6.05,6.04,-17.06%,-20.06%,100.00%,-59.94%,N/A,1.38%,2020/12
"Automobile Retailing, Maintenance & Repair",08126.HK,G. A. HOLDINGS,0.240,1.43,1.26,2.99%,7.29%,100.00%,2.33%,N/A,91.54%,2020/12
"Automobile Retailing, Maintenance & Repair",08135.HK,ZMFY GLASS,0.355,8.36,6.83,-10.21%,-11.73%,20.52%,-25.22%,N/A,4.74%,2020/12
"Automobile Retailing, Maintenance & Repair",08283.HK,ZHENG LI HLDG,0.153,1.00,0.89,-6.10%,-17.35%,100.00%,-5.47%,N/A,83.45%,2019/12
"Automobile Retailing, Maintenance & Repair",08418.HK,OPTIMA AUTO,1.510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Airline Services,00293.HK,CATHAY PAC AIR,6.550,0.59,0.55,-10.69%,-29.86%,100.00%,-46.61%,N/A,127.13%,2020/12
Airline Services,00670.HK,CHINA EAST AIR,3.240,0.23,0.20,-4.16%,-21.04%,100.00%,-20.15%,N/A,327.38%,2020/12
Airline Services,00694.HK,BEIJING AIRPORT,5.090,0.39,0.37,-5.74%,-9.15%,100.00%,-56.72%,N/A,29.90%,2020/12
Airline Services,00753.HK,AIR CHINA,5.650,0.24,0.22,-5.07%,-18.58%,100.00%,-20.72%,N/A,207.84%,2020/12
Airline Services,01055.HK,CHINA SOUTH AIR,4.790,0.41,0.39,-3.32%,-15.59%,100.00%,-12.46%,N/A,286.63%,2020/12
Airline Services,02588.HK,BOC AVIATION,66.400,0.30,0.30,2.16%,10.67%,100.00%,28.57%,35.22%,349.77%,2020/12
Airlne Support,00357.HK,MEILAN AIRPORT,30.850,0.10,0.10,-12.10%,-35.57%,50.61%,-97.87%,N/A,12.38%,2020/12
Airlne Support,01848.HK,CALC,6.100,6.18,6.18,0.72%,8.58%,100.00%,13.44%,82.99%,954.42%,2020/12
Advertising,00100.HK,CLEAR MEDIA,7.120,1.36,1.36,-5.42%,-12.58%,7.05%,-23.82%,N/A,98.30%,2020/12
Advertising,00150.HK,HYPEBEAST,1.140,2.98,2.71,12.14%,19.54%,49.56%,10.47%,N/A,24.30%,2021/03
Advertising,00205.HK,SEEC MEDIA,0.560,2.20,2.20,-27.41%,-50.25%,70.07%,-171.93%,N/A,14.40%,2020/12
Advertising,00550.HK,KK CULTURE,0.800,5.19,5.19,-14.04%,-16.48%,44.22%,-112.52%,N/A,5.35%,2020/12
Advertising,00623.HK,SINOMEDIA,1.160,2.49,2.49,4.21%,5.36%,18.38%,7.42%,41.72%,0.22%,2020/12
Advertising,00745.HK,CN CULTURE GP,0.192,2.35,2.35,-55.32%,-85.52%,29.61%,-72.11%,N/A,N/A,2021/03
Property Management & Agency,00108.HK,GR PROPERTIES,0.960,2.49,1.17,0.01%,0.02%,100.00%,0.17%,N/A,87.26%,2020/12
Advertising,00888.HK,BISON FINANCE,0.340,1.65,1.65,-55.39%,-88.83%,100.00%,-115.34%,N/A,42.80%,2020/12
Advertising,01000.HK,BEIJING MEDIA,0.740,3.96,3.81,-17.46%,-20.71%,11.43%,-59.91%,N/A,0.01%,2020/12
Advertising,01163.HK,ADTIGER CORP,0.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,01351.HK,BRIGHT FUTURE,1.280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,01490.HK,CHESHI,0.770,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,00352.HK,FORTUNE SUN,0.800,5.90,5.90,0.12%,0.16%,40.09%,0.22%,N/A,13.64%,2020/12
Property Management & Agency,00459.HK,MIDLAND IC&I,0.178,1.93,1.93,-0.45%,-0.67%,100.00%,-2.12%,N/A,32.90%,2020/12
Property Management & Agency,00606.HK,SCE CM,4.000,1.88,1.88,13.93%,29.85%,44.28%,19.34%,N/A,N/A,2020/12
Property Management & Agency,00733.HK,HOPEFLUENT,3.100,2.65,2.65,2.46%,5.29%,100.00%,2.97%,18.32%,8.24%,2020/12
Property Management & Agency,00873.HK,SHIMAO SERVICES,26.600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,01640.HK,RUICHENG CHINA,0.650,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,01753.HK,DUIBA,2.160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,01761.HK,BABYTREE GROUP,1.050,16.15,16.15,-19.26%,-20.34%,45.45%,-221.55%,N/A,0.63%,2020/12
Advertising,01762.HK,WANKA ONLINE,0.750,3.23,3.23,4.25%,5.78%,14.06%,3.87%,N/A,17.22%,2020/12
Advertising,01831.HK,SHIFANG HLDG,0.385,0.67,0.43,-17.03%,-136.06%,10.97%,-58.38%,N/A,357.04%,2020/12
Property Management & Agency,00982.HK,HUAFA PPT SER,0.201,0.65,0.65,3.57%,-10.19%,27.90%,3.39%,N/A,-144.13%,2020/12
Property Management & Agency,01153.HK,JIAYUAN SER,3.870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01200.HK,MIDLAND HOLDING,1.660,1.13,1.13,2.62%,12.10%,100.00%,2.65%,N/A,82.42%,2020/12
Property Management & Agency,01209.HK,CHINA RES MIXC,51.100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01417.HK,RIVERINE CHINA,1.880,1.25,1.25,3.99%,10.55%,15.35%,3.43%,26.37%,43.32%,2020/12
Real Estate Investment Trust,00405.HK,YUEXIU REIT,4.000,0.45,0.45,1.56%,3.88%,100.00%,32.15%,106.89%,96.13%,2020/12
Advertising,01860.HK,MOBVISTA,9.880,1.79,1.79,-1.05%,-1.94%,15.91%,-1.01%,N/A,25.40%,2020/12
Advertising,01917.HK,DOUMOB,0.124,4.47,4.47,-27.72%,-33.32%,9.68%,-81.72%,N/A,2.18%,2020/12
Advertising,01993.HK,ASIARAY,2.000,0.82,0.82,-3.15%,-56.42%,22.32%,-10.69%,N/A,"1,511.65%",2020/12
Advertising,02013.HK,WEIMOB INC,15.900,1.78,1.78,-19.76%,-110.36%,50.93%,-58.75%,N/A,54.14%,2020/12
Advertising,02131.HK,NETJOY,6.320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01502.HK,FIN STREET PPT,4.830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01516.HK,SUNAC SERVICES,27.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01538.HK,ZHONG AO HOME,0.770,1.09,1.08,6.35%,16.15%,25.20%,7.50%,16.03%,14.43%,2020/12
Property Management & Agency,01730.HK,LHN,2.060,1.16,1.16,7.02%,19.85%,47.42%,17.99%,20.83%,136.55%,2020/09
Property Management & Agency,01755.HK,S-ENJOY SERVICE,23.500,1.61,1.60,13.65%,35.29%,30.73%,15.78%,50.00%,0.36%,2020/12
Real Estate Investment Trust,00435.HK,SUNLIGHT REIT,4.850,0.29,0.29,-3.82%,-5.09%,80.12%,-87.93%,-59.56%,28.70%,2020/06
Real Estate Investment Trust,00625.HK,RREEF CCT REIT,4.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Real Estate Investment Trust,00778.HK,FORTUNE REIT,8.390,0.05,0.05,-8.12%,-11.15%,76.94%,-173.17%,-28.82%,30.59%,2020/12
Real Estate Investment Trust,00808.HK,PROSPERITY REIT,3.130,0.31,0.31,-8.32%,-11.59%,79.06%,-193.09%,-30.88%,30.86%,2020/12
Real Estate Investment Trust,00823.HK,LINK REIT,74.650,0.72,0.72,0.56%,0.75%,100.00%,11.03%,508.75%,26.89%,2021/03
Advertising,06113.HK,UTS MARKETING,1.130,9.25,9.25,17.90%,20.03%,100.00%,19.16%,51.56%,6.00%,2020/12
Advertising,06988.HK,JOY SPREADER,3.080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,08087.HK,CHINA 33MEDIA,0.089,2.23,1.79,-30.16%,-51.98%,7.18%,-129.90%,N/A,4.59%,2020/12
Advertising,08091.HK,OOH HOLDINGS,0.084,2.24,2.11,-4.83%,-8.84%,31.96%,-9.94%,N/A,64.48%,2021/03
Advertising,08112.HK,CORNERSTONE FIN,0.300,5.36,5.36,-23.13%,-34.59%,63.70%,-113.95%,N/A,22.28%,2020/12
Property Management & Agency,01778.HK,COLOUR LIFE,3.070,1.24,1.24,4.87%,11.53%,33.58%,13.95%,25.01%,72.66%,2020/12
Property Management & Agency,01895.HK,XINYUAN PM,2.120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01922.HK,YINCHENG LS,4.730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01941.HK,YE XING GROUP,0.680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,01971.HK,RSUN SER,4.270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Real Estate Investment Trust,01275.HK,NEW CENT REIT,2.010,1.12,1.12,-12.48%,-32.61%,100.00%,-254.54%,-300.82%,103.78%,2020/12
Real Estate Investment Trust,01426.HK,SPRING REIT,2.870,3.83,3.83,-1.96%,-2.95%,74.55%,-35.62%,-127.12%,47.19%,2020/12
Real Estate Investment Trust,01503.HK,CMC REIT,2.770,2.20,2.20,3.96%,7.29%,74.01%,77.02%,79.44%,51.48%,2020/12
Real Estate Investment Trust,01881.HK,REGAL REIT,1.670,0.07,0.07,-10.16%,-19.36%,98.47%,-265.07%,-19.18%,84.32%,2020/12
Real Estate Investment Trust,02191.HK,SF REIT,4.320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Advertising,08121.HK,GURU ONLINE,0.070,1.07,1.07,-17.32%,-65.41%,30.66%,-11.49%,N/A,34.70%,2021/03
Advertising,08130.HK,DADI INTL GROUP,0.063,1.33,1.33,-11.37%,-40.20%,20.33%,-24.76%,N/A,166.01%,2021/03
Advertising,08202.HK,INNO-TECH HOLD,0.032,0.31,0.31,82.67%,-31.99%,9.56%,66.91%,N/A,-52.36%,2019/06
Advertising,08238.HK,WINTO GROUP,0.115,0.72,0.72,-234.97%,316.68%,44.67%,-188.80%,N/A,-162.81%,2019/12
Property Management & Agency,01995.HK,EVERSUNSHINE LS,18.800,2.48,2.48,8.36%,13.49%,31.40%,12.51%,28.98%,1.01%,2020/12
Property Management & Agency,02048.HK,E-HOUSE ENT,6.070,2.22,2.22,1.18%,2.97%,100.00%,3.78%,24.73%,83.24%,2020/12
Property Management & Agency,02080.HK,AUX INTL,0.550,1.60,1.60,-1.93%,-6.35%,100.00%,-2.85%,N/A,79.82%,2021/03
Property Management & Agency,02107.HK,FIRST SERVICE,0.960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,02146.HK,ROISERV,10.780,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Real Estate Investment Trust,02778.HK,CHAMPION REIT,4.390,0.57,0.57,-17.43%,-24.57%,80.37%,-427.94%,-11.79%,32.24%,2020/12
Real Estate Investment Trust,87001.HK,HUI XIAN REIT,1.760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,02156.HK,C&D PROPERTY,5.100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Property Management & Agency,02168.HK,KAISA PROSPER,29.450,2.78,2.78,11.24%,17.74%,30.50%,12.83%,38.34%,0.48%,2020/12
Property Management & Agency,02310.HK,TIMES UNI GP,0.083,0.69,0.68,-41.26%,-220.51%,29.37%,-133.97%,N/A,301.34%,2020/12
Property Management & Agency,02606.HK,LANGUANGJUSTBON,53.850,1.79,1.78,11.07%,20.83%,35.69%,19.50%,N/A,0.49%,2020/12
Property Investment,00010.HK,HANG LUNG GROUP,19.880,0.95,0.54,-0.69%,-1.67%,72.22%,-16.18%,-72.57%,42.45%,2020/12
Property Investment,00014.HK,HYSAN DEV,30.950,16.37,16.37,-2.32%,-3.46%,86.79%,-68.65%,-59.02%,25.75%,2020/12
Property Investment,00016.HK,SHK PPT,115.000,2.91,0.90,2.95%,4.11%,50.98%,28.46%,60.96%,19.69%,2020/06
Property Investment,00026.HK,CHINA MOTOR BUS,109.000,64.72,64.72,1.32%,1.33%,100.00%,134.38%,"1,117.89%",N/A,2020/06
Property Investment,00029.HK,DYNAMIC HOLD,13.800,2.21,2.21,-1.13%,-1.43%,71.25%,-30.87%,-16.67%,5.06%,2020/06
Property Investment,00036.HK,FE HLDGS INTL,0.180,0.61,0.61,4.99%,12.77%,94.92%,250.82%,N/A,90.14%,2020/12
Property Investment,00041.HK,GREAT EAGLE H,25.950,1.42,1.09,-7.64%,-14.52%,38.40%,-82.87%,-23.70%,50.05%,2020/12
Property Investment,00063.HK,CHI ASIA VALLEY,0.104,0.04,0.04,-5.50%,-13.20%,94.10%,-133.37%,N/A,93.35%,2020/12
Property Investment,00075.HK,Y.T. REALTY,1.490,1.75,0.27,-1.17%,-7.60%,41.79%,-46.95%,N/A,215.78%,2020/12
Property Investment,00089.HK,TAI SANG LAND,4.350,0.45,0.28,-1.40%,-1.97%,75.32%,-44.35%,-40.74%,30.80%,2020/12
Property Investment,00093.HK,TERMBRAY IND,0.295,10.01,8.60,3.36%,3.96%,88.61%,184.11%,N/A,0.07%,2020/12
Property Investment,00101.HK,HANG LUNG PPT,18.920,0.94,0.52,-1.22%,-1.86%,72.23%,-28.65%,-133.33%,27.65%,2020/12
Property Investment,00105.HK,ASSO INT HOTELS,13.600,1.54,1.54,-13.79%,-14.42%,78.73%,-351.35%,-10.38%,1.91%,2021/03
Property Investment,00127.HK,CHINESE EST H,3.690,0.74,0.70,1.66%,2.16%,97.37%,20.46%,6.13%,25.69%,2020/12
